Proben-ID;Anlagennummer;Probe aus;Ölmenge im System;Dimension;Ölbezeichnung;Datum Probenentnahme;Datum letzter Ölwechsel;Nachfüllmenge seit Wechsel;Dimension;Laufzeit seit Wechsel;Dimension;Laufzeit gesamt;Dimension;Wasser K. F.;
1064793;264723;WEA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2009-03-26;2007-10-17;;;;;124739;h;106;ppm
958481;264723;WEA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2008-08-27;2007-10-17;;;;;119673;h;157;ppm
993143;264747;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2008-11-25;;;;;;115074;h;65;ppm
1152990;264747;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2009-11-19;;;;;;129674;h;76;ppm
1333993;264747;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2011-02-16;;;;;;134522;h;89;ppm
1243372;264747;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2010-07-13;2010-07-13;;;;;129307;h;176;ppm
1334075;264748;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2011-02-17;;;;;;134262;h;36;ppm
993298;264748;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2008-11-25;;;;;;115241;h;37;ppm
1152060;264748;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2009-11-20;;;;;;123833;h;120;ppm
1166288;264760;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2010-01-06;2006-12-21;;;;;142009;h;103;ppm
855349;264760;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2007-10-15;2006-12-21;;;7081;h;123258;h;108;ppm
1321363;264760;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2011-01-26;2006-12-21;;;;;150990;h;139;ppm
1120319;264760;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2009-09-02;2006-12-21;;;;;139024;h;165;ppm
1050956;264760;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2009-02-19;2006-12-21;;;;;134953;h;200;ppm
1504788;264760;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2012-02-22;2006-12-21;;;;;159446;h;228;ppm
969752;264760;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2008-09-23;2006-12-21;;;;;131384;h;289;ppm
1600667;264760;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2012-08-24;2006-12-21;;;;;163421;h;293;ppm
1251465;264760;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2010-08-06;2006-12-21;;;;;146975;h;295;ppm
1417563;264760;WKA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2011-08-22;2006-12-21;;;;;155762;h;388;ppm
1329542;264761;WEA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2011-02-14;2006-12-20;;;;;62707;h;106;ppm
1494349;264761;WEA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2012-02-02;2006-12-20;;;;;51066;h;160;ppm
905793;264761;WEA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2008-03-17;2006-12-20;;;19919;h;18273;h;169;ppm
1161469;264761;WEA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2009-12-14;2006-12-20;;;;;133368;h;169;ppm
1699712;264761;WEA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2013-02-21;2006-12-20;;;;;58683;h;181;ppm
858431;264761;WEA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2007-10-17;2006-12-20;;;7193;h;14623;h;198;ppm
1835391;264761;WEA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2013-10-28;2006-12-20;;;;;64350;h;215;ppm
967441;264761;WEA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2008-09-15;2006-12-20;;;15224;h;22639;h;239;ppm
1106632;264761;WEA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2009-07-24;2006-12-20;;;;;130011;h;242;ppm
1051275;264761;WEA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2009-02-16;2006-12-20;;;;;26225;h;264;ppm
1991377;264761;WEA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2014-07-30;2006-12-20;;;;;70328;h;288;ppm
1250015;264761;WEA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2010-08-02;2006-12-20;;;;;38591;h;323;ppm
1407100;264761;WEA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2011-08-01;2006-12-20;;;;;46660;h;355;ppm
1594127;264761;WEA-Hauptgetriebe;55;;Addinol Eco Gear 320 S;2012-08-13;2006-12-20;;;;;54528;h;389;ppm
933203;265343;WKA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2008-06-11;2007-09-11;;;6388;h;83688;h;88;ppm
1166254;265343;WKA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2010-01-04;2007-05-03;;;;;97005;h;95;ppm
883426;265343;WKA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2008-01-14;2007-09-11;;;2884;h;80184;h;106;ppm
1527392;265343;WKA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2012-04-04;2007-09-11;;;;;;;124;ppm
1240119;265343;WKA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2010-07-07;2007-09-11;;;;;101561;h;139;ppm
1344922;265343;WKA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2011-03-08;2007-09-11;;;;;107336;h;140;ppm
1733941;265343;WKA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2013-04-25;2012-07-01;;;;;125850;h;148;ppm
993816;265343;WKA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2008-11-25;2007-09-11;;;10355;h;57655;h;181;ppm
1168817;265343;WKA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2009-12-29;2007-10-01;;;;;97059;h;182;ppm
1817326;265343;WKA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2013-09-25;2012-07-01;;;;;129524;h;215;ppm
1613421;265343;WKA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2012-09-10;2012-07-13;;;;;120494;h;245;ppm
1105696;265343;WKA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2009-07-07;2007-09-11;;;;;92976;h;257;ppm
2042524;265343;WKA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2014-10-16;2012-07-13;;;;;138593;h;407;ppm
1414303;265343;WKA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2011-08-15;2007-09-11;;;;;111148;h;412;ppm
1925145;265344;WEA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2014-04-07;;;;;;133519;h;53;ppm
933079;265344;WEA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2008-06-10;2007-05-03;;;9591;h;83395;h;73;ppm
1340735;265344;WEA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2011-03-03;2007-05-03;;;;;106722;h;74;ppm
882052;265344;WEA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2008-01-07;2007-05-03;;;5925;h;79729;h;79;ppm
1240046;265344;WEA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2010-07-08;2007-05-03;;;;;101398;h;111;ppm
1712280;265344;WEA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2013-03-15;2012-06-04;;;;;124332;h;174;ppm
2042461;265344;WEA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2014-10-14;2012-06-07;;;;;138064;h;210;ppm
1817327;265344;WEA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2013-09-19;2012-06-07;;;;;128720;h;211;ppm
1031201;265344;WEA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2008-12-04;2007-05-03;;;13824;h;87628;h;212;ppm
835559;265344;WEA-Hauptgetriebe;160;l;Addinol Eco Gear 320 S;2007-07-30;2007-05-03;;l;2055;h;75899;h;250;ppm
1105508;265344;WEA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2009-07-15;2007-05-03;;;;;92444;h;253;ppm
1606203;265344;WEA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2012-09-03;;;;;;119718;h;314;ppm
1414475;265344;WEA-Hauptgetriebe;160;;Addinol Eco Gear 320 S;2011-08-16;2007-05-03;;;;;110657;h;389;ppm
1804361;265826;WKA-Hauptgetriebe;220;;Addinol Eco Gear 320 S;2013-09-05;2007-02-27;;;;;75781;h;95;ppm
1041838;265826;WKA-Hauptgetriebe;220;;Addinol Eco Gear 320 S;2009-01-26;2007-02-27;;;15121;h;40411;h;103;ppm
1340722;265826;WKA-Hauptgetriebe;220;;Addinol Eco Gear 320 S;2011-03-02;2007-02-27;;;;;56270;h;105;ppm
1701739;265826;WKA-Hauptgetriebe;220;;Addinol Eco Gear 320 S;2013-02-27;2007-02-27;;;;;71774;h;126;ppm
803578;265826;WKA-Hauptgetriebe;220;l;Addinol Eco Gear 320 S;2007-04-19;2007-02-27;220;l;398;h;26486;h;134;ppm
934210;265826;WKA-Hauptgetriebe;220;;Addinol Eco Gear 320 S;2008-06-12;2007-02-27;;;10171;h;35461;h;135;ppm
1905934;265826;WKA-Hauptgetriebe;220;;Addinol Eco Gear 320 S;2014-02-19;2007-02-27;;;;;79476;h;135;ppm
2012450;265826;WKA-Hauptgetriebe;220;;Addinol Eco Gear 320 S;2014-09-04;2007-02-27;;;;;83390;h;141;ppm
1100729;265826;WKA-Hauptgetriebe;220;;Addinol Eco Gear 320 S;2009-07-08;2007-02-27;;;;;43838;h;154;ppm
1514058;265826;WKA-Hauptgetriebe;220;;Addinol Eco Gear 320 S;2012-03-12;2007-02-27;;;;;64212;h;181;ppm
