Proben-ID;Anlagennummer;Probe aus;Ölmenge im System;Dimension;Ölbezeichnung;Datum Probenentnahme;Datum letzter Ölwechsel;Nachfüllmenge seit Wechsel;Dimension;Laufzeit seit Wechsel;Dimension;Laufzeit gesamt;Dimension;Wasser K. F.;Dimension
2057069;428257;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-11-18;2012-04-18;;;;;;;109;ppm
1439202;100089;WKA-Hauptgetriebe;300;;Mobil Mobilgear XMP 320;2011-09-20;;;;;;;;109;ppm
2093172;100089;WKA-Hauptgetriebe;300;;Mobil Mobilgear XMP 320;2015-01-26;2011-01-01;;;;;111073;kWh;110;ppm
2091435;560962;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2015-01-15;2013-05-01;;;22394000;kWh;22789;;110;ppm
2091324;553004;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2015-01-07;2013-05-10;;;22560000;kWh;22185;;111;ppm
2008851;428253;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-25;2014-06-01;;;;;;;111;ppm
1986310;392029;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-07-18;2013-06-20;;;35947000;kWh;35399;;113;ppm
2045305;421282;Énergie éolienne ligne - engrenage principale;500;l;Mobil Mobilgear XMP 320;;2014-10-30;500;l;;;;;113;ppm
1952514;438296;Wind turbine - main gear;360;;Mobil Mobilgear XMP 320;2014-05-22;2012-04-01;;;;;;;114;ppm
1828815;405582;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2013-09-30;2013-03-01;;;4000;h;39391.84;h;114;ppm
2054543;431451;Wind turbine - main gear;320;;Mobil Mobilgear XMP 320;2014-10-27;2012-06-01;;;;;;;115;ppm
2082058;437424;Wind turbine - main gear;500;l;Mobil Mobilgear XMP 320;2015-01-02;2012-06-20;60;l;11211000;kWh;16964000;kWh;115;ppm
1967714;392006;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;43751000;kWh;39556;;115;ppm
2066496;123598;WKA-Hauptgetriebe;60;;Mobil Mobilgear XMP 320;2014-12-02;2013-10-29;;;;;;;116;ppm
1837213;196651;WKA-Hauptgetriebe;60;l;Mobil Mobilgear XMP 320;2013-10-29;2013-10-29;60;l;;;;;116;ppm
2082011;229176;Énergie éolienne ligne - engrenage principale;425;l;Mobil Mobilgear XMP 320;2014-11-13;2013-11-25;;l;;;;;116;ppm
2081999;299607;Énergie éolienne ligne - engrenage principale;500;l;Mobil Mobilgear XMP 320;2014-12-16;2013-04-09;500;l;;;;;117;ppm
1842899;319018;Wind turbine - main gear;425;l;Mobil Mobilgear XMP 320;2013-11-04;2013-11-01;425;l;;;38041;h;117;ppm
2108798;724355;Wind turbine - main gear;500;l;Mobil Mobilgear XMP 320;2015-02-13;2013-12-19;;l;6877000;kWh;8806;h;117;ppm
1884738;437427;Wind turbine - main gear;340;l;Mobil Mobilgear XMP 320;2014-01-10;2012-04-16;20;l;;;29979.29;h;118;ppm
1936416;405593;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-03-05;2013-02-02;;;8426;h;43440.51;h;119;ppm
2082014;229174;Énergie éolienne ligne - engrenage principale;425;;Mobil Mobilgear XMP 320;2014-10-05;2013-11-25;;;;;;;119;ppm
2082015;229175;Énergie éolienne ligne - engrenage principale;425;l;Mobil Mobilgear XMP 320;2014-11-12;2013-11-25;;l;;;;;119;ppm
1999772;534217;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-09;2014-08-08;;;24;h;28803.04;h;119;ppm
2045468;637978;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-10-29;2014-10-14;;;197080;kWh;14170;h;119;ppm
1886158;441222;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-01-22;2012-06-01;;;10133000;kWh;39123;;120;ppm
1964225;431441;Wind turbine - main gear;360;;Mobil Mobilgear XMP 320;2014-06-09;2012-06-25;;;;;13556;h;120;ppm
1854723;208223;Wind turbine - main gear;280;;Mobil Mobilgear XMP 320;2013-12-02;2013-04-15;;;;;;;120;ppm
1952135;387941;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-05-02;2011-06-16;;;23706;h;50537;h;121;ppm
2097341;328273;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2015-01-23;2013-10-23;;;;;61157.1;;121;ppm
2081998;299608;Énergie éolienne ligne - engrenage principale;500;;Mobil Mobilgear XMP 320;2014-12-15;2013-04-09;;;;;;;122;ppm
2048749;208213;Wind turbine - main gear;280;;Mobil Mobilgear XMP 320;2014-11-06;2014-08-20;;;;;;;122;ppm
1914328;634990;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-03-18;;;;9590000;kWh;10229;h;122;ppm
1981512;437424;Wind turbine - main gear;500;l;Mobil Mobilgear XMP 320;2014-06-25;2012-06-20;;l;9093000;kWh;13434000;kWh;123;ppm
1967725;392007;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;41778000;kWh;40600;;123;ppm
1967720;392016;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;4049000;;3394;h;123;ppm
2082010;229177;Énergie éolienne ligne - engrenage principale;425;;Mobil Mobilgear XMP 320;2014-11-06;2013-11-26;;;;;;;123;ppm
2094198;428253;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2015-01-28;;;;;;;;123;ppm
1849884;405587;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2013-11-04;2012-03-11;;;798600;kWh;24247000;kWh;124;ppm
1981509;437427;Wind turbine - main gear;340;l;Mobil Mobilgear XMP 320;2014-06-17;2012-04-16;;l;10650000;kWh;14909000;kWh;124;ppm
1952508;428257;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-05-22;2012-04-22;;;;;;;125;ppm
1967719;392029;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;35624000;kWh;34871;;125;ppm
1999761;405584;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-06;2014-08-05;;;24;h;46735.39;h;125;ppm
2050168;396884;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-11-04;;;;;;;;125;ppm
1917863;208200;Wind turbine - main gear;320;l;Mobil Mobilgear XMP 320;2014-03-17;2012-03-14;20;l;;;44531;h;126;ppm
1999765;405593;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-05;2014-08-04;;;24;h;46547.38;h;126;ppm
1979815;534221;WKA-Hauptgetriebe;400;;Mobil Mobilgear XMP 320;2014-06-10;;;;21518000;kWh;27266;h;126;ppm
1952511;438305;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-05-22;2012-04-01;;;;;;;127;ppm
2106912;208223;Wind turbine - main gear;280;l;Mobil Mobilgear XMP 320;2015-02-11;2013-04-15;20;l;;;;;127;ppm
2097342;328274;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2015-01-19;2013-10-23;;;;;61899.3;;127;ppm
1999762;405587;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-06;2014-08-05;;;24;h;47091.67;h;127;ppm
2082007;299606;Énergie éolienne ligne - engrenage principale;500;l;Mobil Mobilgear XMP 320;2014-12-15;;;l;;;;;127;ppm
1963951;430668;Wind turbine - main gear;350;l;Mobil Mobilgear XMP 320;2014-05-26;;20;l;;;41197;h;127;ppm
1952506;428254;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-05-22;2012-04-01;;;;;;;128;ppm
1952510;428259;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-05-22;2012-04-01;;;;;;;128;ppm
1970998;336324;WKA-Hauptgetriebe;470;;Mobil Mobilgear XMP 320;2014-06-11;;;;;;;;128;ppm
2057070;428253;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-11-18;;;;;;;;128;ppm
1964001;430684;Wind turbine - main gear;350;;Mobil Mobilgear XMP 320;2014-05-29;;;;;;40729;h;128;ppm
2108843;695966;Wind turbine - main gear;400;l;Mobil Mobilgear XMP 320;2015-02-13;;20;l;13519000;kWh;14524;h;128;ppm
2052823;722060;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-11-05;;;;;;;;128;ppm
1952507;428258;Wind turbine - main gear;360;;Mobil Mobilgear XMP 320;2014-05-22;2012-04-01;;;;;;;129;ppm
1993800;125162;Wind turbine - main gear;390;;Mobil Mobilgear XMP 320;2014-07-03;2013-06-01;;;;;;;129;ppm
1983987;100089;WKA-Hauptgetriebe;300;;Mobil Mobilgear XMP 320;2014-07-09;;;;;;;;129;ppm
1989822;590211;WKA-Hauptgetriebe;400;;Mobil Mobilgear XMP 320;2014-07-22;;;;21796;h;21796;h;129;ppm
1936412;405587;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-03-16;2013-02-04;;;8452;h;43985.41;h;130;ppm
1872232;487866;Wind turbine - main gear;40;;Mobil Mobilgear XMP 320;2014-01-09;2014-01-09;;;;;;;130;ppm
2049072;726487;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-11-05;2014-05-28;;;;;;;130;ppm
2063404;428229;Wind turbine - main gear;400;l;Mobil Mobilgear XMP 320;2014-11-19;2014-06-12;;l;2779;h;37337;h;130;ppm
